Date,City,Cause of Death
10/29/02,Road Santana To Nizao -  Bani -  Dominican Republic,Other Accident
11/4/02,San Isidro Air Base -  Santo Domingo -  Dominican Republic,Air Accident
11/24/02,Santo Domingo -  Dominican Republic,Homicide
12/11/02,Provincia La Vega -  Dominican Republic,Veh. Accident-Auto
12/22/02,On The Road To La Romana -  Dominican Republic,Veh. Accident-Auto
12/22/02,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
12/24/02,Santo Domingo -  Dominican Republic,Natural Disaster
12/30/02,Galeton Beach -  Cabrera -  Nagua -  Dominican Republic,Drowning
1/14/03,Higuey -  Dominican Republic,Drowning
2/9/03,La Romana -  Dominican Republic,Suicide
2/18/03,San Pedro De Macoris -  Dominican Republic,Homicide
2/23/03,Santiago -  Dominican Republic,Homicide
3/16/03,Bavaro -  Higuey -  Dominican Republic,Drowning
3/29/03,Road Of Sabaneta Yasica-puerto Plata -  Dominican Republic,Veh. Accident-Auto
3/29/03,San Pedro De Macoris -  Dominican Republic,Veh. Accident-Motorcycle
4/27/03,Santiago -  Dominican Republic,Other Accident
5/11/03,Los Arrecifres De La Avenida Espana -  Santo Domingo -  Dominican Republic,Drowning
5/19/03,Moca -  Dominican Republic,Homicide
5/25/03,Puerto Plata -  Dominican Republic,Other Accident
6/9/03,Puerto Plata -  Dominican Republic,Homicide
6/20/03,Santo Domingo -  Dominican Republic,Homicide
7/13/03,Santo Domingo -  Dominican Republic,Homicide
7/14/03,Santo Domingo -  Dominican Republic,Other Accident
9/26/03,Penuela Esperanza -  Provincia Valverde -  Dominican Republic,Homicide
10/4/03,Las Lagunas De Naibon -  Higuey -  Dominican Republic,Drowning
10/27/03,San Felipe -  Santo Domingo -  Dominican Republic,Homicide
10/30/03,Santo Domingo -  Dominican Republic,Homicide
12/11/03,Santiago -  Dominican Republic,Homicide
12/12/03,Santo Domingo -  Dominican Republic,Homicide
12/26/03,Clinica Abel Gonzalez -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
1/6/04,Santiago -  Dominican Republic,Veh. Accident-Auto
1/8/04,Santo Domingo -  Dominican Republic,Homicide
1/23/04,Santiago -  Dominican Republic,Homicide
1/30/04,Santo Domingo -  Dominican Republic,Homicide
2/9/04,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
3/7/04,Km 3 -  Road From Sosua -  Puerto Plata -  Dominican Republic,Veh. Accident-Auto
3/29/04,At The Duarte Highway -  From The City Of Santiago To La Vega -  Dominican Republic,Veh. Accident-Auto
3/29/04,Mirador Norte -  Santo Domingo -  Dominican Republic,Homicide
4/15/04,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
4/22/04,Bonao -  Dominican Republic,Homicide
4/24/04,Los Hidalgos -  Puerto Plata -  Dominican Republic,Veh. Accident-Motorcycle
5/4/04,Santo Domingo -  Dominican Republic,Veh. Accident-Pedestrian
5/30/04,Santo Domingo -  Dominican Republic,Homicide
6/5/04,Km. 16 -  Road From Juan Dolio To San Pedtro De Macoris -  Dominican Republic,Veh. Accident-Auto
6/13/04,San Pedro De Macoris -  Dominican Republic,Homicide
6/17/04,San Pedro De Macoris -  Dominican Republic,Homicide
6/22/04,Brisas Del Mar -  La Romana -  Dominican Republic,Homicide
7/4/04,Nagua -  Dominican Republic,Homicide
7/10/04,El Higuerito -  Moca -  Dominican Republic,Other Accident
7/12/04,Avenida 27 De Febrero -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
7/13/04,Cabrera -  Nagua -  Dominican Republic,Veh. Accident-Motorcycle
7/29/04,Santiago Highway -  Santiago -  Dominican Republic,Veh. Accident-Auto
8/9/04,Santo Domingo -  Dominican Republic,Other Accident
8/29/04,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
8/29/04,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
8/29/04,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
9/15/04,San Francisco De Macoris -  Dominican Republic,Homicide
10/9/04,Carr. Sanchez -  Km 9.5 -  Buenos Aires -  Mir. Norte -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
11/1/04,Fantino -  Cotui -  Dominican Republic,Homicide
12/7/04,San Pedro De Macoris -  Dominican Republic,Homicide
12/25/04,Autovia Del Este -  San Pedro De Macoris -  Dominican Republic,Veh. Accident-Motorcycle
1/1/05,Winston Churchill Avenue -  Urb. Claret -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
1/21/05,Santiago -  Dominican Republic,Homicide
1/26/05,Santiago -  Dominican Republic,Homicide
2/2/05,Costambar -  Puerto Plata -  Dominican Republic,Drowning
3/1/05,Santiago -  Dominican Republic,Homicide
3/3/05,Santiago -  Dominican Republic,Suicide
3/4/05,Higuey -  Dominican Republic,Homicide
3/4/05,Puerto Plata -  Dominican Republic,Homicide
3/7/05,Higuey Public Prison -  Higuey -  Dominican Republic,Other Accident
3/7/05,Higuey Public Prison -  Higuey -  Dominican Republic,Other Accident
5/8/05,Santo Domingo -  Dominican Republic,Veh. Accident
5/12/05,Bonao -  Dominican Republic,Homicide
5/12/05,Santo Domingo -  Dominican Republic,Suicide
6/7/05,San Cristobal -  Dominican Republic,Homicide
6/9/05,Bani -  Dominican Republic,Veh. Accident-Auto
6/12/05,Bavaro -  Higuey -  Dominican Republic,Veh. Accident-Pedestrian
6/19/05,Centro Medico Munoz Y Pichardo -  Esperanza -  Valverde -  Dominican Republic,Veh. Accident-Motorcycle
6/26/05,Autopista Las Americas -  Santo Domingo -  Dominican Republic,Veh. Accident-Pedestrian
6/28/05,Ave. Central -  Esquina Entrada Casa De Campo -  La Romana -  Dominican Republic,Veh. Accident-Auto
7/30/05,Santo Domingo -  Dominican Republic,Homicide
8/14/05,Playa De Boca Chica -  Santo Domingo -  Dominican Republic,Other Accident
8/21/05,Basan Pedro De Macoris -  Dominican Republic,Homicide
9/24/05,Calle Sanchez #52 -  Vicente Noble -  Prov. Barahona -  Dominican Republic,Drowning
9/24/05,Centro Medico Punta Cana -  Higuey -  Dominican Republic,Other Accident
5/27/06,Santo Domingo -  Dominican Republic,Homicide
6/10/06,Santo Domingo -  Dominican Republic,Suicide
