Date,City,Cause of Death
10/25/03,Shkin -  Afghanistan,Terrorist Action
10/25/03,Shkin -  Afghanistan,Terrorist Action
8/29/04,Kabul -  Afghanistan,Terrorist Action
8/29/04,Kabul -  Afghanistan,Terrorist Action
8/29/04,Kabul -  Afghanistan,Terrorist Action
10/23/04,Kabul -  Afghanistan,Terrorist Action
11/27/04,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/04,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/04,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/04,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
2/3/05,Koh-e-chapari -  Afghanistan,Air Accident
4/6/05,Ghazni -  Afghanistan,Air Accident
4/6/05,Ghazni -  Afghanistan,Air Accident
4/6/05,Ghazni -  Afghanistan,Air Accident
4/23/05,Ghazni -  Afghanistan,Veh. Accident-Auto
6/1/05,Kandahar -  Afghanistan,Terrorist Action
6/25/05,Bagram Air Base -  Afghanistan,Suicide
8/13/08,Logar -  Afghanistan,Terrorist Action
6/13/09,Kabul -  Kabul -  Afghanistan,Drug-Related
7/4/09,Kabul - Kabul -  Afghanistan,Veh. Accid-Auto
7/19/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/13/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/15/09,Kabul City - Kabul -  Aghanistan,Terrorist Action
8/15/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/16/09,Kabul - Kabul -  Aghanistan,Terrorist Action
8/20/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
9/20/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
10/28/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
11/17/09,Kabul -  Kabul -  Aghanistan,Terrorist Action
12/6/09,Kabul -  Kabul -  Aghanistan,Drug-Related
12/24/09,Kabul -  Kabul -  Aghanistan,Veh. Accid-Auto
5/17/10,Kabul - Kabul -  Afghanistan,Air Accident
5/19/10,Bagram - Parwan -  Afghanistan,Terrorist Action
6/7/10,Kandahar City - Kandahar -  Afghanistan,Terrorist Action
6/17/10,Kabul - Kabul -  Afghanistan,Suicide
7/10/10,Kandahar City -  Kandahar -  Afghanistan,Terrorist Action
7/20/10,Kabul -  Afghanistan,Homicide
7/20/10,Kabul -  Afghanistan,Homicide
7/29/10,Sheberghan City -  Sheberghan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
8/5/10,Faizabad -  Badakhshan -  Afghanistan,Terrorist Action
9/6/10,Kabul -  Afghanistan,Terrorist Action
9/6/10,Kabul -  Afghanistan,Terrorist Action
9/6/10,Kandahar -  Afghanistan,Terrorist Action
9/6/10,Kandahar -  Afghanistan,Terrorist Action
9/7/10,Kandahar -  Afghanistan,Terrorist Action
2/7/11,Kandahar -  Afghanistan,Terrorist Action
4/27/11,Kabul -  Afghanistan,Terrorist Action
4/28/11,FOB Bermel/Boris -  Afghanistan,Terrorist Action
6/4/11,Laghman Province -  Afghanistan,Terrorist Action
7/9/11,Panjshir -  Afghanistan,Homicide
7/27/11,Kandahar Province -  Afghanistan,Terrorist Action
7/30/11,Samangan Province -  Afghanistan,Veh. Accid-Auto
9/5/11,Ghazni Province -  Afghanistan,Terrorist Action
9/25/11,Kabul -  Afghanistan,Homicide
