Date,City,Cause of Death
11/4/02,'strada Provinciale 99' -  Km. 1.3 -  Tortona -  Alessandria -  Italy,Veh. Accident-Auto
11/13/02,Venice -  Italy,Other Accident
11/30/02,Perugia -  Italy,Suicide
1/4/03,Italy,Other Accident
5/7/03,Reggio Calabria -  Italy,Suicide
6/17/03,S Abgelo Dei Lombardi -  Avellino -  Italy,Veh. Accident-Auto
6/26/03,Montevergine -  Mercogliano -  Avellino -  Italy,Veh. Accident-Motorcycle
6/29/03,Massino Visconti -  Novara -  A26 Km 177,Veh. Accident-Auto
8/24/03,Pozzuoli -  Italy,Veh. Accident-Motorcycle
9/19/03,Barga -  Lucca -  Italy,Veh. Accident-Auto
10/29/03,Piazza Ugo La Malfa -  Rome -  Italy,Veh. Accident-Motorcycle
12/1/03,Via Lungarno Colombo -  Florence -  Italy,Veh. Accident-Pedestrian
1/24/04,Florence -  Italy,Drug-Related
1/29/04,Rome -  Italy,Suicide
3/14/04,Florence -  Italy,Homicide
3/21/04,Sergnano -  Cremona -  Italy,Veh. Accident-Motorcycle
5/1/04,Via G. Frescobaldi -  Rome -  Italy,Other Accident
5/8/04,S.r. 222km -  33+800 -  Greve In Chianti -  Florence -  Italy,Veh. Accident-Auto
5/16/04,Siano Salerno -  Italy,Suicide
5/17/04,Brindisi -  Italy,Suicide
5/20/04,Naples -  Italy,Suicide
5/24/04,Trento -  Italy,Other Accident
5/30/04,Castelnuovo Berardenga -  Siena -  Italy,Other Accident
6/13/04,Senigallia -  Ancona -  Italy,Suicide
7/3/04,Siena -  Italy,Other Accident
7/13/04,Caserta -  Italy,Veh. Accident-Pedestrian
7/27/04,Varese -  Italy,Suicide
8/22/04,Monterosso Al Mare -  La Spezia -  Italy,Other Accident
9/7/04,Castel Di Lama -  Italy,Veh. Accident-Motorcycle
10/13/04,Port Of Civitavecchia -  Italy,Drowning
1/25/05,Acquaviva Delle Fonti -  Bari -  Italy,Veh. Accident-Auto
2/4/05,Milan -  Italy,Veh. Accident-Auto
2/20/05,Via Cristoforo Colombo - Via Pindaro -  Ostia -  Rome -  Italy,Veh. Accident-Motorcycle
3/6/05,Caimpino -  Rome -  Italy,Train Accident
3/26/05,Km 14 - 400 Of Via Del Mare (cantieri Navali -  Marina Di Roma) In Tiber -  Italy,Drowning
5/1/05,Rome -  Italy,Suicide
7/6/05,Fiumicino Airport -  Rome -  Italy,Air Accident
7/26/05,Casa Lunga Camerata Di Todi -  Perugia -  Italy,Drowning
7/31/05,Highway 24 -  Km 36 -  Condove -  Turin -  Italy,Veh. Accident
7/31/05,Ss 195 Km 7200 -  Cagliari -  Sardinia -  Italy,Veh. Accident-Auto
7/31/05,Ss 195åÂ‰ÛÊ Km 7200 -  Cagliari -  Sardinia -  Italy,Veh. Accident-Auto
8/3/05,Ederlee Inn -  Vicenza -  Italy,Other Accident
8/9/05,Train Station -  Desio -  Milan -  Italy,Veh. Accident-Train
8/10/05,Sardinia -  Italy,Maritime Accident
8/20/05,Siena -  Italy,Veh. Accident-Motorcycle
10/1/05,Livorno -  Italy,Other Accident
10/20/05,Sp Terminillese -  Rieti -  Italy,Veh. Accident-Auto
11/20/05,Via Cristoforo Colombo -  Rome -  Italy,Veh. Accident-Pedestrian
2/19/06,Venice -  Italy,Other Accident
4/29/06,Naples -  Italy,Veh.Accident-Auto
5/28/06,Monsigliolo (cortona) -  Arezzo -  Italy,Veh. Accident-Motorcycle
7/4/06,Montepulciano -  Siena - italy,Veh.Accident-Auto
7/25/06,Ponza -  Latina -  Italy,Drowning
9/2/06,Otricoli -  Terni -  Italy,Other Accident
10/7/06,Terni -  Italy,Veh.Accident-Auto
10/14/06,Ravenna -  Italy,Veh.Accident-Auto
1/9/07,Rome -  Italy,Homicide
2/6/07,Vicenza -  Italy,Suicide
5/1/07,Rome -  Italy,Other Accident
6/9/07,Piansano -  Viterbo -  Italy,Veh. Accident-Motorcycle
6/16/07,Sesto Fiorentino -  Italy,Suicide
7/4/07,Serracapriola -  Foggia -  Italy,Homicide
9/2/07,Sorrento -  Naples - åÂ‰ÛÊ Italy,DROWNING-Ocean
9/24/07,Porto Cesareo -  Lecce -  Italy,Suicide
9/27/07,Riomaggiore -  La Spezia -  Italy,Drowning
1/21/08,Serracapriola -  Foggia,Veh. Accid-Auto
1/24/08,Rome -  Italy,Suicide
