Date,City,Cause of Death
10/2/02,Guadalajara -  Jalisco -  Mexico,Veh. Accident-Auto
10/2/02,Tijuana -  Baja California Norte -  Mexico,Homicide
10/3/02,Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
10/6/02,Veracruz -  Veracruz -  Mexico,Suicide
10/8/02,Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Motorcycle
10/9/02,Cd. Obregon -  Sonora -  Mexico,Veh. Accident-Auto
10/9/02,Nuevo Laredo -  Tamaulipas -  Mexico,Drug-Related
10/10/02,Guadalajara -  Jalisco -  Mexico,Other Accident
10/12/02,Federal Beaches -  Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
10/13/02,Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
10/14/02,Av. Internacional Al Soler -  Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
10/15/02,Empalme -  Sonora -  Mexico,Veh. Accident-Auto
10/15/02,Km. 44.2 Transpeninsular Hwy -  La Paz And Cd. Constitucion -  Baja California Sur -  Mexico,Veh. Accident-Auto
10/16/02,Baja California Sur -  Mexico,Suicide
10/18/02,Chapala -  Jalisco -  Mexico,Suicide
10/18/02,Tijuana -  Baja California Norte -  Mexico,Drug-Related
10/20/02,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Auto
10/22/02,Puerto Penasco -  Sonora -  Mexico,Homicide
10/24/02,Sanatorio Cemsi -  Culiacan -  Sinaloa -  Mexico,Veh. Accident-Auto
10/26/02,Paraiso Beach -  Cozumel -  Quintana Roo -  Mexico,Drowning
10/27/02,Zacapu -  Michoacan -  Mexico,Other Accident
10/30/02,Chapala -  Jalisco -  Mexico,Suicide
11/1/02,San Quintin -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/1/02,Tijuana -  Baja California Norte -  Mexico,Other Accident
11/4/02,Cuernavaca -  Morelos -  Mexico,Other Accident
11/4/02,Km. 57 Tijuana-ensenada -  Playas De Rosarito -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/6/02,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
11/9/02,Baja California Sur -  Mexico,Suicide
11/9/02,Cabo San Lucas -  Baja California Sur -  Mexico,Other Accident
11/9/02,Highway 200 San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/9/02,Highway 200 San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/9/02,Highway 200 -  San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/9/02,Sahuayo-la Barca -  Michoacan -  Mexico,Homicide
11/15/02,Aerodromo De Alfonsinas -  Baja California Norte -  Mexico,Air Accident
11/15/02,Aerodromo De Alfonsinas -  Baja California Norte -  Mexico,Air Accident
11/15/02,Guerrero Negro -  Baja California Sur -  Mexico,Veh. Accident-Auto
11/19/02,Tijuana -  Baja California Norte -  Mexico,Drug-Related
11/21/02,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
11/21/02,Km. 120 Carretera A Mexicali -  Tecate -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/23/02,Costera Sur Highway -  Cozumel -  Quintana Roo -  Mexico,Veh. Accident-Motorcycle
11/23/02,Costera Sur Highway -  Cozumel -  Quintana Roo -  Mexico,Veh. Accident-Motorcycle
11/24/02,Cd Juarez-villahumada Highway -  Chihuahua -  Mexico,Veh. Accident-Auto
11/24/02,Tijuana -  Baja California Norte -  Mexico,Drug-Related
11/27/02,Km 145-150 Acapulco-zihuatanejo National Highway -  Guerrero -  Mexico,Veh. Accident-Motorcycle
11/28/02,Emiliano Zapata -  Tabasco -  Mexico,Veh. Accident-Motorcycle
11/30/02,Guaymas -  Sonora -  Mexico,Veh. Accident-Auto
11/30/02,Highway 15 Km 125 Between Los Mochis-obregon -  Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
11/30/02,Highway 15 Km 125 Los Mochis-obregon At Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
11/30/02,Road #4 -  Km 115 -  Guaymas -  Sonora -  Mexico,Veh. Accident-Auto
12/1/02,La Paz -  Baja California Sur -  Mexico,Drowning
12/4/02,San Miguel De Allende -  Guanajuato -  Mexico,Veh. Accident-Auto
12/5/02,Cancun -  Quintana Roo -  Mexico,Drowning
12/5/02,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
12/7/02,Cabo San Lucas-san Jose Del Cabo Highway Km 07 + 200 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/7/02,Cabo San Lucas-san Jose Del Cabo Highway Km 07 + 200 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/7/02,Maneadero -  Baja California Norte -  Mexico,Drowning
12/8/02,Ciudad Juarez -  Chihuahua -  Mexico,Other Accident
12/12/02,Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/12/02,Traffic Artery -  Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/13/02,Conocido -  Libramiento Republica -  Morelia -  Michoacan -  Mexico,Veh. Accident-Auto
12/13/02,La Paz -  Baja California Sur -  Mexico,Other Accident
12/14/02,Guerrero -  Mexico,Drug-Related
12/14/02,Tijuana -  Baja California Norte -  Mexico,Homicide
12/17/02,Cd. Constitucion And Loreto Highway Km 092+800 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/17/02,Highway 15 Cd. Obregon-los Mochis At Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
12/20/02,Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
12/20/02,International Highway Km. 23 Mazatlan-culiacan -  Sinaloa -  Mexico,Veh. Accident-Auto
12/25/02,Cancun -  Quintana Roo -  Mexico,Suicide
12/25/02,Nuevo Casas Grandes -  Chihuahua -  Mexico,Veh. Accident-Auto
12/29/02,Km. 68 + 800 Highway Guadalajara - Colima -  Mexico,Veh. Accident-Auto
12/29/02,Km. 68 + 800 -  Highway Guadalajara - Colima -  Mexico,Veh. Accident-Auto
12/30/02,Kilometer 100 Highway Tepic-puerto Vallarta-compostela -  Mexico,Veh. Accident-Auto
12/30/02,Kilometer 100 Highway Tepic-puerto Vallarta-compostela -  Mexico,Veh. Accident-Auto
12/30/02,Km 31 Freeway Manzanillo-cihuatlan -  Colima -  Mexico,Veh. Accident-Auto
12/30/02,Puerto Vallarta -  Jalisco -  Mexico,Homicide
12/31/02,San Felipe -  Baja California Norte -  Mexico,Drowning
12/31/02,Tijuana -  Baja California Norte -  Mexico,Homicide
1/1/03,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
1/2/03,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
1/2/03,Highway Hermosillo-nogales Km 102 -  Benjamin Hill -  Sonora -  Mexico,Veh. Accident-Auto
1/4/03,Ensenada -  Baja California Norte -  Mexico,Homicide
1/5/03,Mazatlan -  Sinaloa -  Mexico,Suicide
1/7/03,Ciudad Juarez -  Chihuahua -  Mexico,Other Accident
1/15/03,Veracruz -  Veracruz -  Mexico,Homicide
1/16/03,Tepatitlan -  Jalisco -  Mexico,Homicide
1/17/03,Acapulco -  Guerrero -  Mexico,Suicide
1/18/03,Freeway # 15 -  Mexico-nogales Km. 097+300 Rosa Morada -  Nayarit -  Mexico,Veh. Accident-Auto
1/18/03,Freeway # 15 -  Mexico-nogales Km. 097+300 -  Rosamorada -  Nayarit -  Mexico,Veh. Accident-Auto
1/18/03,Freeway # 15 -  Mexico-nogales Km. 097+300 -  Rosamorada -  Nayarit -  Mexico,Veh. Accident-Auto
1/19/03,Rosarito -  Baja California Norte -  Mexico,Drug-Related
1/26/03,Puerto Penasco -  Sonora -  Mexico,Other Accident
1/28/03,Cabo San Lucas -  Baja California Sur -  Mexico,Drowning
1/30/03,Quintana Roo -  Mexico,Drowning
1/30/03,Servicios De Salud Tuxpan -  Nayarit -  Mexico,Natural Disaster
1/31/03,Ensenada -  Baja California Norte -  Mexico,Veh. Accident-Auto
2/9/03,Guaymas -  Sonora -  Mexico,Other Accident
2/14/03,Cancun -  Quintana Roo -  Mexico,Other Accident
2/15/03,Acapulco -  Guerrero -  Mexico,Drowning
2/17/03,Tijuana -  Baja California Norte -  Mexico,Drug-Related
2/20/03,La Paz -  Baja California Sur -  Mexico,Homicide
2/22/03,Cruz De Huanacaxtle -  Nayarit -  Mexico,Natural Disaster
2/22/03,Puerto Vallarta -  Jalisco -  Mexico,Suicide
2/22/03,Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Bus
2/23/03,Guadalajara -  Jalisco -  Mexico,Homicide
2/25/03,Cananea -  Sonora -  Mexico,Homicide
2/25/03,Cueramaro -  Guanajuato -  Mexico,Homicide
2/25/03,Km 2.5 Carr. A Barra De Navidad -  Puerto Vallarta -  Jalisco -  Mexico,Other Accident
2/27/03,Cancun -  Quintana Roo -  Mexico,Other Accident
2/28/03,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Motorcycle
3/1/03,Milpillas De Allende -  Zacatecas -  Mexico,Other Accident
3/1/03,Reynosa -  Tamaulipas -  Mexico,Veh. Accident-Auto
3/7/03,Acapulco -  Guerrero -  Mexico,Veh. Accident-Auto
3/15/03,Ensenada -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
3/15/03,San Felipe -  Baja California Norte -  Mexico,Veh. Accident-Auto
3/16/03,Nuevo Laredo -  Tamaulipas -  Mexico,Drug-Related
3/16/03,Tijuana -  Baja California Norte -  Mexico,Suicide
3/19/03,Cabo Bello -  Cabo San Lucas -  Baja California Sur -  Mexico,Suicide
3/20/03,Bahia De Los Angeles -  Baja California Norte -  Mexico,Drowning
3/20/03,Cancun -  Quintana Roo -  Mexico,Other Accident
3/21/03,Telchac Pueblo -  Yucatan -  Mexico,Suicide
3/22/03,Km 14.50 Morelia-patzcuaro Highway -  Michoacan -  Mexico,Veh. Accident-Auto
3/26/03,Palancar Beach -  Cozumel -  Quintana Roo -  Mexico,Drowning
3/29/03,Av. Camaron Sabalo -  Mazatlan -  Sinaloa -  Mexico,Other Accident
3/29/03,Freeway Zapotlanejo La Punta -  Tonala -  Jalisco -  Mexico,Veh. Accident-Pedestrian
3/29/03,Highway # 200 -  Km. 11 -  Xalisco - Testerazo -  Nayarit -  Mexico,Veh. Accident-Auto
